Sr,UDISE Code,School Name,State,District,Block,Rural / Urban,Cluster,Ward,Mohalla,Pincode,lat,lng,Panchayat,City,Municipality,Assembly Const.,Parl. Constituency,School Category,Medium of Instruction,Visit of school for / by,School Management,Medium 1,Acad. Inspections,School Type,Medium 2,CRC Coordinator,Lowest & Highest Class,Medium 3,Block Level Officers,Pre Primary,Medium 4,State/District Officers,Year of Establishment,Is this a Shift School?,Anganwadi At Premises,Year of Recognition-Pri.,Building Status,Anganwadi Boys,Year of Recognition-Upr.Pri.,Boundary wall,Anganwadi Girls,Year of Recognition-Sec.,No.of Building Blocks,Anganwadi Worker,Year of Recognition-Higher Sec.,Pucca Building Blocks,Residential School,Is Special School for CWSN?,Residential Type,Affiliation Board-Sec,Availability of Ramps,Minority School,Affiliation Board-HSec,Availability of Handrails,Approachable By All Weather Road,"('Toilets', 'Total', 'Boys , Girls')","('Toilets', 'Functional', 'Boys , Girls')","('Toilets', 'Func. CWSN Friendly', 'Boys , Girls')","('Toilets', 'Urinal ', 'Boys , Girls')",Total Class Rooms,Drinking Water Available,In Good Condition,Drinking Water Functional,Needs Minor Repair,Rain Water Harvesting,Needs Major Repair,Playground Available,Furniture Availability,Handwash Near Toilet,Other Rooms,Electricity Availability,Handwash Facility for Meal,Library Availability,Solar Panel,Separate Room for HM,Medical checkups,"('No.of Students Received (DCF 5.1 , 5.2)', 'Free text books', 'Primary , Up.Primary')","('No.of Students Received (DCF 5.1 , 5.2)', 'Transport', 'Primary , Up.Primary')","('No.of Students Received (DCF 5.1 , 5.2)', 'Free uniform', 'Primary , Up.Primary')",ICT Lab,Internet,Desktop,Laptop,Tablet,Printer,Projector,DTH,DigiBoard,"('RTE Information', 'Instructional days', 'Pri  Up.Pri  Sec.  H.Sec')","('RTE Information', 'Avg.School hrs.Std.', 'Pri  Up.Pri  Sec.  H.Sec')","('RTE Information', 'Avg.School hrs.Tch', 'Pri  Up.Pri  Sec.  H.Sec')","('RTE Information', 'CCE', 'Pri  Up.Pri  Sec.  H.Sec')",SMC Exists,SMC & SMDC Same,SMDC Constituted,Text Books Received,Special Training,Material for Training,Grants Receipt,Grants Expenditure,"('Teachers', 'Classes Taught', '1-Primary')","('Teachers', 'Classes Taught', '2-Up.Pr.')","('Teachers', 'Classes Taught', '3-Pr. & Up.Pr.')","('Teachers', 'Classes Taught', '5-Sec. only')","('Teachers', 'Classes Taught', '6-H Sec only.')","('Teachers', 'Classes Taught', '7-Up pri and Sec.')","('Teachers', 'Classes Taught', '8-Sec and H Sec')","('Teachers', 'Classes Taught', '10- Pre-Primary Only.')","('Teachers', 'Classes Taught', '11-Pre- Pri & Pri')","('Teachers', 'Classes Taught', 'Teachers Aged above 55')","('Teachers', 'Classes Taught', 'No. of Total Teacher Received Service Training')","('Teachers', 'Classes Taught', 'Total Teacher Involve in Non Training Assignment')","('Teachers', 'Total')","('Teachers', 'Nature of Appointment')","('Teachers', 'Gender')","('Teachers', 'Regular')","('Teachers', 'Male')","('Teachers', 'Part-time')","('Teachers', 'Female')","('Teachers', 'Contract')","('Teachers', 'Transgender')","('Teachers', 'Below Graduate')","('Teachers', 'Graduate')","('Teachers', 'Post Graduate and Above')","('Teachers', 'Total Teacher Trained in Computer')",Diploma or Certificate in basic teachers’ training,Bachelor of Elementary Education \(B.El.Ed.\),B.Ed. or Equivalent,M.Ed. or Equivalent,Other,None,Diploma/degree in special Education,Pursuing any Relevant Professional Course
15,07  09  02  ND  501,"Sri Guru Tegh Bahadur Khalsa Girls Senior Secondary School, Ali Ganj,Lodhi Colony, New Delhi", Delhi , South , DOEAIDED, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 905-NDMC-Charge No.5 ,,110003,28.6045128,77.2192949, NA , South Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 4-Government Aided , 04-Hindi ,0, 3-Co-educational ,,5, 1  -   12 ,,0, 2-No ,,1,1949, 2-No , 2-No,1952, 1-Private ,0,1952, 1-Pucca ,0,1962,2, NA,1976,2, 2-No, 2-No ,, 1-CBSE , 1-Yes , 2-No, 1-CBSE , 1-Yes , 1-Yes, 2 7 , 1 3 , 1 4 , 1 4 ,12, 1-Yes,12, Yes,0, 2-No,0, 2-No,106, 1-Yes ,23, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 1-Yes, 28 41, 0 0, 28 41, 1-Yes , 1-Yes ,0,0,0,1,1, 2-No ,0, 220 220 220 220, 6.0 6.0 6.0 6.0, 6.3 6.3 6.3 6.3, 1-Yes 1-Yes 2-No 2-No, 1-Yes , 2-No , 2-No , 1-Yes ,, 2-No ,0,0,5,3,0,2,4,0,0,0,0,1,0,0,14, ,,14,0,0,14,0,0,0,3,11,0,0,2,10,1,0,0,1,0
16,07  09  03  15  503,"Delhi Public School, Mathura Road, New Delhi", Delhi , South , DOEUNAIDED, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 155-Lajpat Nagar ,,110003,28.6055128,77.2192949, NA , South Delhi  , South DMC, 41-Jangpura ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 5-Private Unaided (Recognized) , 19-English ,1, 3-Co-educational ,,4, 0  -   12 ,,0, 1-Yes ,,1,1949, 2-No , 2-No,1969, 1-Private ,0,1969, 1-Pucca ,0,1969,4, NA,1969,4, 2-No, 2-No ,, 1-CBSE , 2-No , 2-No, 1-CBSE , NA , 1-Yes, 65 38 , 59 32 , 6 6 , 59 32 ,139, 1-Yes,139, Yes,0, 1-Yes,0, 1-Yes,4545, 1-Yes ,12, 1-Yes, 1-Yes , 1-Yes , 1-Yes, 1-Yes , 1-Yes, 0 0, 0 0, 0 0, 2-No , 1-Yes ,150,25,0,56,3, 2-No ,0, 186 191 220 220, 6.5 6.25 6.25 6.25, 6.5 6.25 6.25 6.25, 1-Yes 1-Yes 1-Yes 1-Yes, 1-Yes , 2-No , 2-No , 1-Yes ,, 2-No ,0,0,69,22,0,47,50,0,0,34,0,34,0,0,222, ,,222,23,0,199,0,0,4,102,116,49,0,1,181,4,36,0,0,0
17,07  09  03  15  703,"The Banyan Tree School, Lodhi Road, New Delhi", Delhi , South , DOEUNAIDED, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 157-Kasturba Nagar ,,110003,28.6065128,77.2192949, NA , South Delhi  , South DMC, 42-Kasturba Nagar ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 5-Private Unaided (Recognized) , 19-English ,1, 3-Co-educational ,,3, 0  -   12 ,,0, 1-Yes ,,1,1986, 2-No , 2-No,1989, 1-Private ,0,1989, 1-Pucca ,0,1991,2, NA,1993,2, 2-No, 2-No ,, 1-CBSE , 1-Yes , 2-No, 1-CBSE , 2-No , 1-Yes, 10 14 , 9 13 , 1 1 , 18 10 ,47, 1-Yes,47, Yes,0, 1-Yes,0, 1-Yes,1521, 1-Yes ,0, 1-Yes, 1-Yes , 1-Yes , 1-Yes, 1-Yes , 1-Yes, 0 0, 0 0, 0 0, 2-No , 1-Yes ,60,15,26,9,1, 1-Yes ,0, 235 235 235 235, 4.0 6.0 6.0 6.0, 6.0 6.0 6.0 6.0, 1-Yes 1-Yes 2-No 2-No, 1-Yes , 2-No , 2-No , 2-No ,, 2-No ,0,0,21,10,0,10,14,0,0,7,0,2,0,0,62, ,,24,3,0,59,38,0,0,23,39,56,7,0,42,4,7,0,2,0
18,07  09  03  15  801,"Sanwal Dass Memorial School, Mahawar Nagar, Kotla Mubarakpur, New Delhi", Delhi , South , DOEUNAIDED, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 158-Kotla Mubaraqpur ,,110003,28.6075128,77.2192949, NA , South Delhi  , South DMC, 42-Kasturba Nagar ,, 2 - Primary with Upper Primary ,,, 5-Private Unaided (Recognized) , 19-English ,0, 3-Co-educational ,,5, 0  -   8 ,,0, 1-Yes ,,2,1999, 2-No , 2-No,2004, 1-Private ,0,2004, 1-Pucca ,0,,1, NA,,1, 2-No, 2-No ,,, 1-Yes , 2-No,, 2-No , 1-Yes, 4 3 , 4 3 , 0 0 , 4 3 ,19, 1-Yes,19, Yes,0, 1-Yes,0, 2-No,536, 1-Yes ,8, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 1-Yes, 0 0, 0 0, 0 0, 2-No , 1-Yes ,19,0,0,3,1, 2-No ,0, 220 220 220 220, 6.0 6.0 0.0 0.0, 7.0 7.0 0.0 0.0, 1-Yes 1-Yes 2-No 2-No, 2-No , 2-No , 2-No , 2-No ,, 2-No ,0,0,9,8,0,0,0,0,0,2,0,0,0,0,19, ,,15,0,0,19,4,0,1,14,4,2,5,0,14,0,0,0,0,0
19,07  09  03  15  802,"Air Force Bal Bharti School, Lodhi Road, New Delhi", Delhi , South , DOEUNAIDED, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 906-NDMC-Charge No.6 ,,110003,28.6085128,77.2192949, NA , South Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 5-Private Unaided (Recognized) , 19-English ,1, 3-Co-educational ,,2, 0  -   12 ,,1, 1-Yes ,,1,1955, 2-No , 2-No,1955, 1-Private ,0,1955, 1-Pucca ,0,1980,4, NA,1980,4, 2-No, 2-No ,, 1-CBSE , 2-No , 2-No, 1-CBSE , NA , 1-Yes, 20 53 , 20 53 , 0 0 , 86 53 ,77, 1-Yes,77, Yes,0, 1-Yes,0, 1-Yes,3300, 1-Yes ,17, 1-Yes, 1-Yes , 1-Yes , 1-Yes, 1-Yes , 1-Yes, 0 0, 0 0, 0 0, 2-No , 1-Yes ,95,6,0,30,3, 2-No ,80, 220 220 220 220, 5.0 6.0 6.0 6.0, 6.0 6.0 6.0 6.0, 1-Yes 1-Yes 1-Yes 1-Yes, 1-Yes , 2-No , 2-No , 2-No ,, 2-No ,0,0,44,32,0,25,23,0,0,5,0,17,0,0,129, ,,124,22,0,107,5,0,1,47,81,4,0,5,104,1,18,0,1,0
20,07  09  04  15  703,"MCD Primary School-Rented (Co-ed), Bagh Nathu Singh Kotla MubarakPur, New Delhi", Delhi , South , MCD, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 157-Kasturba Nagar ,,110003,28.6095128,77.2192949, NA , South Delhi  , South DMC, 42-Kasturba Nagar ,, 1 - Primary ,,, 3-Local body , 04-Hindi ,1, 3-Co-educational ,,3, 1  -   5 ,,1, 2-No ,,0,1958, 2-No , 2-No,1958, 2-Rented ,0,, 2-Pucca but broken ,0,,2, NA,,0, 2-No, 2-No ,,, 2-No , 2-No,, NA , 1-Yes, 4 2 , 1 1 , 1 1 , 2 2 ,3, 1-Yes,0, Yes,0, 2-No,3, 2-No,90, 1-Yes ,4, 1-Yes, 1-Yes , 1-Yes , 2-No, 2-No , 1-Yes, 67 0, 0 0, 67 0, 2-No , 2-No ,0,0,0,0,0, 2-No ,0, 220 0 0 0, 7.0 0.0 0.0 0.0, 7.0 0.0 0.0 0.0, 1-Yes 2-No 2-No 2-No, 1-Yes , 2-No , 2-No , 1-Yes ,, 1-Yes ,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2, ,,2,0,0,2,0,0,0,1,1,2,1,0,0,1,0,0,0,0
21,07  05  02  ND  402,"Delhi Kannada Sr. Sec. School, Lodhi Estate, New Delhi", Delhi , New Delhi , DOEAIDED, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 906-NDMC-Charge No.6 ,,110003,28.6105128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 4-Government Aided , 19-English ,2, 3-Co-educational ,,5, 1  -   12 ,,5, 2-No ,,0,1961, 2-No , 2-No,1961, 1-Private ,0,1961, 1-Pucca ,0,1961,1, NA,1977,1, 2-No, 2-No ,, 1-CBSE , 2-No , 2-No, 1-CBSE , NA , 1-Yes, 15 9 , 13 7 , 2 2 , 13 7 ,26, 1-Yes,26, Yes,0, 2-No,0, 1-Yes,1100, 1-Yes ,0, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 1-Yes, 941 32, 0 0, 941 32, 2-No , 1-Yes ,30,0,0,5,8, 1-Yes ,0, 218 220 220 220, 6.59 6.59 6.59 6.59, 7.5 7.5 7.5 7.5, 1-Yes 1-Yes 1-Yes 1-Yes, 2-No , 1-Yes , 2-No , 2-No ,, 2-No ,0,0,10,6,0,11,11,0,0,0,0,2,0,0,38, ,,38,11,0,27,0,0,1,24,13,4,3,0,30,1,3,0,1,0
22,07  09  04  15  706,"Nigam Pratibha Vidyalaya (Co-ed), Sewa Nagar N Block, New Delhi", Delhi , South , MCD, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 157-Kasturba Nagar ,,110003,28.6115128,77.2192949, NA , South Delhi  , South DMC, 42-Kasturba Nagar ,, 1 - Primary ,,, 3-Local body , 19-English ,6, 3-Co-educational , 04-Hindi ,4, 0  -   5 ,,0, 1-Yes ,,1,1958, 2-No , 2-No,1958, 3-Government ,0,, 1-Pucca ,0,,1, NA,,1, 2-No, 2-No ,,, 1-Yes , 2-No,, 1-Yes , 1-Yes, 9 11 , 8 10 , 1 1 , 7 9 ,13, 1-Yes,13, Yes,0, 1-Yes,0, 1-Yes,281, 1-Yes ,8, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 1-Yes, 205 0, 0 0, 177 0, 2-No , 2-No ,8,0,0,0,0, 2-No ,0, 213 0 0 0, 5.0 0.0 0.0 0.0, 6.0 0.0 0.0 0.0, 1-Yes 2-No 2-No 2-No, 1-Yes , 2-No , 2-No , 1-Yes ,, 1-Yes ,111500,111500,7,0,0,0,0,0,0,2,0,1,0,0,9, ,,8,1,0,8,1,0,2,4,3,8,4,2,3,0,0,0,0,0
23,07  09  04  15  707,"MCD Primary School (Co-ed), Sewa Nagar West, New Delhi", Delhi , South , MCD, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 157-Kasturba Nagar ,,110003,28.6125128,77.2192949, NA , South Delhi  , South DMC, 42-Kasturba Nagar ,, 1 - Primary ,,, 3-Local body , 04-Hindi ,12, 3-Co-educational ,,3, 0  -   5 ,,0, 1-Yes ,,1,1955, 2-No , 2-No,1955, 3-Government ,0,, 1-Pucca ,0,,2, NA,,1, 2-No, 2-No ,,, 2-No , 2-No,, NA , 1-Yes, 6 6 , 5 5 , 1 1 , 5 5 ,12, 1-Yes,6, Yes,2, 2-No,4, 2-No,469, 1-Yes ,8, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 1-Yes, 469 0, 0 0, 469 0, 2-No , 1-Yes ,1,0,0,0,1, 2-No ,1, 213 0 0 0, 5.0 0.0 0.0 0.0, 5.3 0.0 0.0 0.0, 1-Yes 2-No 2-No 2-No, 1-Yes , 1-Yes ,, 1-Yes , 1-Yes , 1-Yes ,112100,112100,12,0,0,0,0,0,0,1,0,2,0,0,13, ,,9,1,0,12,4,0,0,5,8,0,3,0,7,2,1,0,0,0
24,07  09  04  15  801,"MCD Primary School (Co-ed), South Extn. Part – I, New Delhi", Delhi , South , MCD, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 158-Kotla Mubaraqpur ,,110003,28.6135128,77.2192949, NA , South Delhi  , South DMC, 42-Kasturba Nagar ,, 1 - Primary ,,, 3-Local body , 04-Hindi ,10, 3-Co-educational , 19-English ,3, 0  -   5 ,,1, 1-Yes ,,0,1971, 2-No , 2-No,1971, 3-Government ,0,, 1-Pucca ,0,,1, NA,,1, 2-No, 2-No ,,, 1-Yes , 2-No,, 2-No , 1-Yes, 8 7 , 7 6 , 1 1 , 8 7 ,6, 1-Yes,6, Yes,0, 2-No,0, 1-Yes,163, 1-Yes ,7, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 1-Yes, 124 0, 0 0, 124 0, 2-No , 1-Yes ,9,0,0,0,5, 2-No ,5, 217 0 0 0, 5.0 0.0 0.0 0.0, 5.0 0.0 0.0 0.0, 1-Yes 1-Yes 2-No 2-No, 1-Yes , 1-Yes ,, 1-Yes ,, 1-Yes ,111000,111000,5,0,0,0,0,0,0,1,0,1,0,0,6, ,,6,3,0,3,0,0,0,4,2,5,2,0,3,0,0,0,1,0
25,07  09  04  15  802,"Nigam Pratibha Vidyalaya (Co-ed), Wazir Nagar Kotla Mubarakpur, New Delhi", Delhi , South , MCD, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 158-Kotla Mubaraqpur ,,110003,28.6145128,77.2192949, NA , South Delhi  , South DMC, 42-Kasturba Nagar ,, 1 - Primary ,,, 3-Local body , 04-Hindi ,7, 3-Co-educational , 19-English ,7, 0  -   5 ,,2, 1-Yes ,,0,1975, 2-No , 2-No,1975, 3-Government ,0,, 1-Pucca ,0,,2, NA,,1, 2-No, 2-No ,,, 2-No , 2-No,, NA , 1-Yes, 6 9 , 5 7 , 1 2 , 5 7 ,9, 1-Yes,5, Yes,2, 2-No,2, 1-Yes,297, 1-Yes ,9, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 1-Yes, 243 0, 0 0, 0 0, 2-No , 2-No ,1,0,0,0,0, 2-No ,0, 212 0 0 0, 5.59 0.0 0.0 0.0, 5.59 0.0 0.0 0.0, 1-Yes 2-No 2-No 2-No, 1-Yes , 1-Yes ,, 1-Yes , 2-No , 1-Yes ,106500,106500,8,0,0,0,0,0,0,0,0,0,0,0,8, ,,3,0,0,8,5,0,0,7,1,0,6,0,2,0,0,0,0,0
26,07  09  04  15  803,"MCD Primary School (Co-ed), Bapu Park, Kotla Mubarak Pur, New Delhi", Delhi , South , MCD, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 158-Kotla Mubaraqpur ,,110003,28.6155128,77.2192949, NA , South Delhi  , South DMC, 42-Kasturba Nagar ,, 1 - Primary ,,, 3-Local body , 04-Hindi ,4, 3-Co-educational ,,4, 0  -   5 ,,0, 1-Yes ,,2,1957, 2-No , 2-No,1957, 4-Government school in a rent free building ,0,, 1-Pucca ,0,,2, NA,,0, 2-No, 2-No ,,, 1-Yes , 2-No,, 2-No , 1-Yes, 4 4 , 1 3 , 1 1 , 2 2 ,6, 1-Yes,3, Yes,3, 2-No,0, 1-Yes,247, 1-Yes ,2, 1-Yes, 1-Yes , 1-Yes , 2-No, 2-No , 1-Yes, 0 0, 0 0, 0 0, 2-No , 1-Yes ,1,0,0,0,0, 2-No ,0, 220 0 0 0, 5.0 0.0 0.0 0.0, 5.3 0.0 0.0 0.0, 1-Yes 2-No 2-No 2-No, 1-Yes , 1-Yes ,, 1-Yes ,, 2-No ,86000,86000,5,0,0,0,0,0,0,1,0,0,0,0,6, ,,3,2,0,4,3,0,1,4,1,0,1,0,1,0,4,0,0,0
27,07  09  04  15  804,"MCD Primary School (Co-ed), Prem Nagar (Central Zone), New Delhi", Delhi , South , MCD, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 158-Kotla Mubaraqpur ,,110003,28.6165128,77.2192949, NA , South Delhi  , South DMC, 42-Kasturba Nagar ,, 1 - Primary ,,, 3-Local body , 04-Hindi ,12, 3-Co-educational , 19-English ,4, 0  -   5 ,,0, 1-Yes ,,1,1960, 2-No , 2-No,1960, 3-Government ,0,, 1-Pucca ,0,,1, NA,,1, 2-No, 2-No ,,, 1-Yes , 2-No,, 2-No , 1-Yes, 7 7 , 6 6 , 1 1 , 6 6 ,13, 1-Yes,0, Yes,13, 1-Yes,0, 1-Yes,342, 1-Yes ,0, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 2-No, 310 0, 0 0, 310 0, 2-No , 1-Yes ,14,0,0,1,1, 2-No ,0, 225 0 0 0, 5.0 0.0 0.0 0.0, 5.3 0.0 0.0 0.0, 1-Yes 2-No 2-No 2-No, 1-Yes , 1-Yes ,, 1-Yes ,, 1-Yes ,111850,111850,7,0,0,0,0,0,0,1,0,2,0,0,8, ,,8,0,0,8,0,0,0,5,3,1,5,3,0,0,0,0,0,0
28,07  09  05  15  801,"Shri Guru Nanak Primary School, Kotla Mubarak Pur, New Delhi", Delhi , South , MCDAIDED, 2-Urban ," 1924025-SKV  Block-A, Defence Cly", 158-Kotla Mubaraqpur ,,110003,28.6175128,77.2192949, NA , South Delhi  , South DMC, 42-Kasturba Nagar ,, 1 - Primary ,,, 4-Government Aided , 04-Hindi ,1, 3-Co-educational ,,9, 1  -   5 ,,1, 2-No ,,0,1972, 2-No , 2-No,1972, 1-Private ,0,, 1-Pucca ,0,,1, NA,,1, 2-No, 2-No ,,, 2-No , 1-Yes,, NA , 1-Yes, 1 2 , 1 2 , 0 0 , 1 2 ,5, 1-Yes,5, Yes,0, 2-No,0, 2-No,40, 1-Yes ,5, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 2-No, 61 0, 0 0, 61 0, 2-No , 1-Yes ,0,0,0,0,0, 1-Yes ,0, 217 0 0 0, 5.3 0.0 0.0 0.0, 6.0 0.0 0.0 0.0, 1-Yes 2-No 2-No 2-No, 1-Yes , 2-No , 2-No , 1-Yes ,, 2-No ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1, ,,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29,07  05  02  ND  403,"Shyama Prasad Vidyalaya, 17-A, Lodhi Estate, New Delhi", Delhi , New Delhi , DOEAIDED, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 906-NDMC-Charge No.6 ,,110003,28.6185128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 4-Government Aided , 19-English ,2, 3-Co-educational ,,12, 1  -   12 ,,4, 2-No ,,0,1948, 2-No , 2-No,1957, 1-Private ,0,1957, 1-Pucca ,0,1957,1, NA,1957,1, 2-No, 2-No ,, 1-CBSE , 1-Yes , 2-No, 1-CBSE , 1-Yes , 1-Yes, 9 9 , 8 8 , 1 1 , 8 8 ,30, 1-Yes,30, Yes,0, 1-Yes,0, 1-Yes,1216, 1-Yes ,15, 1-Yes, 1-Yes , 1-Yes , 1-Yes, 1-Yes , 1-Yes, 0 0, 0 0, 0 0, 1-Yes , 1-Yes ,18,0,4,5,1, 2-No ,0, 216 220 220 220, 6.0 6.0 6.0 6.0, 6.3 6.3 6.3 6.3, 1-Yes 1-Yes 1-Yes 2-No, 1-Yes , 2-No , 2-No , 2-No ,, 2-No ,0,0,9,11,0,6,16,0,0,0,0,4,0,0,42, ,,42,4,0,38,0,0,0,16,26,4,0,0,37,4,1,0,0,0
30,07  05  02  ND  404,"DTEA Sr. Sec. School, Lodhi Estate, New Delhi", Delhi , New Delhi , DOEAIDED, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 906-NDMC-Charge No.6 ,,110003,28.6195128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 4-Government Aided , 19-English ,0, 3-Co-educational ,,12, 1  -   12 ,,3, 2-No ,,0,1951, 2-No , 2-No,1951, 3-Government ,0,1951, 1-Pucca ,0,1951,1, NA,1957,1, 2-No, 2-No ,, 1-CBSE , 2-No , 2-No, 1-CBSE , NA , 1-Yes, 25 19 , 1 1 , 1 1 , 1 1 ,36, 1-Yes,35, Yes,1, 1-Yes,0, 1-Yes,1294, 1-Yes ,11, 1-Yes, 1-Yes , 1-Yes , 1-Yes, 1-Yes , 1-Yes, 1293 361, 0 0, 1293 361, 2-No , 1-Yes ,10,0,0,4,12, 2-No ,13, 220 221 206 220, 6.0 6.0 6.0 6.0, 6.0 6.0 6.0 6.0, 1-Yes 1-Yes 1-Yes 2-No, 1-Yes , 1-Yes , 2-No , 2-No ,, 2-No ,0,0,10,10,0,10,14,0,0,0,0,3,0,0,44, ,,44,6,0,38,0,0,1,12,31,36,0,7,31,2,4,0,0,0
31,07  05  02  ND  801,"JPM Blind Sr. Sec. School, Lal Bahadur Shastri Marg, New Delhi", Delhi , New Delhi , DOEAIDED, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 906-NDMC-Charge No.6 ,,110003,28.6205128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 4-Government Aided , 04-Hindi ,2, 1-Boys ,,12, 0  -   12 ,,4, 1-Yes ,,1,1944, 2-No , 2-No,1969, 1-Private ,0,1969, 1-Pucca ,0,1969,1, NA,1977,1, 2-No, 1-Yes ,, 1-CBSE , 2-No , 2-No, 1-CBSE , NA , 1-Yes, 24 0 , 12 0 , 12 0 , 12 0 ,22, 1-Yes,22, Yes,0, 1-Yes,0, 1-Yes,220, 1-Yes ,8, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 1-Yes, 0 0, 0 0, 0 0, 1-Yes , 1-Yes ,10,0,0,1,1, 1-Yes ,1, 218 220 220 220, 5.3 5.3 5.3 5.3, 6.3 6.3 6.3 6.3, 1-Yes 1-Yes 1-Yes 1-Yes, 1-Yes , 2-No , 2-No , 2-No ,, 1-Yes ,0,0,9,6,0,4,7,0,0,0,0,6,0,0,26, ,,26,17,0,9,0,0,3,4,19,12,0,0,3,3,8,0,12,0
32,07  05  02  ND  803,"Air Force Sr. Sec. School, OWC, Race Course, New Delhi", Delhi , New Delhi , DOEAIDED, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 903-NDMC-Charge No.3 ,,110003,28.6215128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 4-Government Aided , 19-English ,2, 3-Co-educational ,,1, 1  -   12 ,,2, 2-No ,,0,1947, 2-No , 2-No,1959, 3-Government ,0,1964, 1-Pucca ,0,1984,11, NA,1992,10, 2-No, 2-No ,, 1-CBSE , 1-Yes , 2-No, 1-CBSE , 1-Yes , 1-Yes, 6 7 , 5 6 , 1 1 , 9 1 ,29, 1-Yes,29, Yes,0, 1-Yes,0, 2-No,1156, 1-Yes ,27, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 2-No, 0 0, 0 0, 0 0, 1-Yes , 1-Yes ,47,0,0,6,1, 2-No ,0, 220 220 220 220, 6.0 6.0 6.0 6.0, 6.3 6.3 6.3 6.3, 1-Yes 1-Yes 2-No 2-No, 1-Yes , 2-No , 1-Yes , 2-No ,, 2-No ,0,0,5,12,0,7,11,0,0,0,0,4,0,0,35, ,,35,5,0,30,0,0,1,6,28,12,3,1,27,1,2,0,1,0
33,07  05  03  ND  801,"Sardar Patel Vidyalaya, Lodi Estate New Delhi", Delhi , New Delhi , DOEUNAIDED, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 906-NDMC-Charge No.6 ,,110003,28.6225128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 5-Private Unaided (Recognized) , 04-Hindi ,0, 3-Co-educational , 19-English ,6, 0  -   12 ,,3, 1-Yes ,,0,1958, 2-No , 2-No,1973, 1-Private ,0,1973, 1-Pucca ,0,1973,8, NA,1973,8, 2-No, 2-No ,, 1-CBSE , 1-Yes , 2-No, 1-CBSE , 2-No , 1-Yes, 8 9 , 7 8 , 1 1 , 1 1 ,48, 1-Yes,48, Yes,0, 1-Yes,0, 1-Yes,1800, 1-Yes ,8, 1-Yes, 1-Yes , 1-Yes , 1-Yes, 1-Yes , 2-No, 0 0, 0 0, 0 0, 2-No , 1-Yes ,11,4,1,8,7, 2-No ,0, 220 220 220 220, 6.0 6.0 6.0 6.0, 6.0 6.0 6.0 6.0, 1-Yes 1-Yes 2-No 2-No, 2-No , 2-No , 2-No , 2-No ,, 2-No ,0,0,25,19,0,22,20,0,0,8,0,5,0,0,94, ,,80,12,0,82,14,0,7,74,13,55,10,11,57,6,1,0,9,0
34,07  05  07  ND  406,"Navyug Sr. Secondary School, Lodhi Road, New Delhi", Delhi , New Delhi , NDMC, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 905-NDMC-Charge No.5 ,,110003,28.6235128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 3-Local body , 19-English ,1, 3-Co-educational ,,16, 1  -   12 ,,3, 2-No ,,0,1983, 2-No , 2-No,1983, 3-Government ,0,1998, 1-Pucca ,0,2000,2, NA,2002,2, 2-No, 2-No ,, 1-CBSE , 2-No , 2-No, 1-CBSE , NA , 1-Yes, 3 3 , 2 2 , 1 1 , 3 3 ,26, 1-Yes,26, Yes,0, 1-Yes,0, 1-Yes,931, 1-Yes ,17, 1-Yes, 1-Yes , 1-Yes , 1-Yes, 1-Yes , 1-Yes, 422 360, 0 0, 0 0, 2-No , 1-Yes ,36,0,0,1,1, 1-Yes ,16, 225 230 230 225, 5.3 6.3 6.3 6.3, 6.3 6.3 6.3 6.3, 1-Yes 1-Yes 2-No 2-No, 1-Yes , 1-Yes , 2-No , 2-No ,, 1-Yes ,25000,24936,10,8,0,7,14,0,0,0,0,7,0,0,39, ,,34,14,0,25,5,0,0,8,31,1,3,1,30,3,2,0,0,0
35,07  05  01  ND  401,"Govt. Sarvodaya Kanya Vidyalaya, Pandara Road, New Delhi", Delhi , New Delhi , DOE, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 906-NDMC-Charge No.6 ,,110003,28.6245128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 1-Department of Education , 04-Hindi ,12, 3-Co-educational , 19-English ,5, 0  -   12 ,,12, 1-Yes ,,6,1964, 2-No , 2-No,1964, 4-Government school in a rent free building ,0,1964, 1-Pucca ,0,1964,2, NA,1964,2, 2-No, 2-No ,, 1-CBSE , 1-Yes , 2-No, 1-CBSE , 1-Yes , 1-Yes, 5 18 , 4 17 , 1 1 , 4 17 ,18, 1-Yes,15, Yes,3, 1-Yes,0, 1-Yes,620, 1-Yes ,18, 1-Yes, 1-Yes , 1-Yes , 1-Yes, 1-Yes , 1-Yes, 234 171, 0 0, 234 171, 1-Yes , 1-Yes ,2,0,29,2,2, 2-No ,0, 200 220 220 220, 5.1 6.0 6.0 6.0, 6.3 6.3 6.3 6.3, 1-Yes 1-Yes 1-Yes 2-No, 1-Yes , 1-Yes , 2-No , 1-Yes ,, 1-Yes ,140000,140000,5,8,0,7,9,0,0,2,0,3,0,0,31, ,,17,1,0,30,14,0,3,9,19,22,6,0,22,2,1,0,0,0